ID	File	Case	Function	NounType	Gender	Number	Animacy	ReferenceToPersons
333	TOR_C_0037_tagged.txt	na-OBL	IO	PROPER	FEM	SG	ANIMATE	YES
334	TOR_C_0037_tagged.txt	na-OBL	IO	PROPER	FEM	SG	ANIMATE	YES
350	TOR_C_00023_tagged.txt	na-OBL	IO	PROPER	FEM	SG	ANIMATE	YES
371	TOR_C_0072_tagged.txt	na-OBL	IO	PROPER	FEM	SG	ANIMATE	YES
372	TOR_C_0072_tagged.txt	na-OBL	IO	PROPER	FEM	SG	ANIMATE	YES
459	TOR_C_00032_tagged.txt	na-OBL	IO	PROPER	FEM	SG	ANIMATE	YES
460	TOR_C_0083_tagged.txt	na-OBL	IO	PROPER	FEM	SG	ANIMATE	YES
461	TOR_C_0046_tagged.txt	na-OBL	IO	PROPER	FEM	SG	ANIMATE	YES
473	TOR_C_0045_tagged.txt	na-OBL	IO	PROPER	FEM	SG	ANIMATE	YES
474	TOR_C_0086_tagged.txt	na-OBL	IO	PROPER	FEM	SG	ANIMATE	YES
475	TOR_C_0045_tagged.txt	na-OBL	IO	PROPER	FEM	SG	ANIMATE	YES
476	TOR_C_0086_tagged.txt	na-OBL	IO	PROPER	FEM	SG	ANIMATE	YES
477	TOR_C_0086_tagged.txt	na-OBL	IO	PROPER	FEM	SG	ANIMATE	YES
478	TOR_C_00015_tagged.txt	na-OBL	IO	PROPER	FEM	SG	ANIMATE	YES
479	TOR_C_00024_tagged.txt	na-OBL	IO	PROPER	FEM	SG	ANIMATE	YES
480	TOR_C_0066_tagged.txt	na-OBL	IO	PROPER	FEM	SG	ANIMATE	YES
485	TOR_C_0066_tagged.txt	na-OBL	POSS	PROPER	FEM	SG	ANIMATE	YES
501	TOR_C_0004_tagged.txt	na-OBL	POSS	PROPER	FEM	SG	ANIMATE	YES
504	TOR_C_0045_tagged.txt	na-OBL	POSS	PROPER	FEM	SG	ANIMATE	YES
505	TOR_C_0045_tagged.txt	na-OBL	POSS	PROPER	FEM	SG	ANIMATE	YES
506	TOR_C_0056_tagged.txt	na-OBL	POSS	PROPER	FEM	SG	ANIMATE	YES
